Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,141.61000061035156,146.10000610351562,139.5500030517578,143.80999755859375,143.80999755859375,2509100
2022-12-12,144.08999633789062,155.08999633789062,139.94000244140625,141.49000549316406,141.49000549316406,4350300
2022-12-19,140.97000122070312,142.1999969482422,135.4499969482422,141.6199951171875,141.6199951171875,3265400
2022-12-26,141.2899932861328,143.7100067138672,138.33999633789062,141.4600067138672,141.4600067138672,1737500
2023-01-02,144.1199951171875,152.74000549316406,142.13999938964844,151.5,151.5,2567100
2023-01-09,152.0,155.97999572753906,150.38999938964844,154.2899932861328,154.2899932861328,2654300
2023-01-16,152.38999938964844,159.08999633789062,144.50999450683594,150.82000732421875,150.82000732421875,3016700
2023-01-23,151.47999572753906,154.77999877929688,148.27999877929688,154.10000610351562,154.10000610351562,2512600
2023-01-30,152.08999633789062,160.74000549316406,151.00999450683594,154.97000122070312,154.97000122070312,5699300
2023-02-06,152.6699981689453,153.77000427246094,140.0,141.52000427246094,141.52000427246094,3711300
2023-02-13,141.5,151.52999877929688,141.1699981689453,145.0,145.0,3776300
2023-02-20,141.77000427246094,144.3699951171875,138.27999877929688,139.08999633789062,139.08999633789062,2869700
2023-02-27,140.97000122070312,141.9499969482422,133.27000427246094,138.74000549316406,138.74000549316406,3535000
2023-03-06,139.3300018310547,140.60000610351562,129.9600067138672,131.38999938964844,131.38999938964844,3893500
2023-03-13,130.32000732421875,135.27000427246094,126.81999969482422,128.4499969482422,128.4499969482422,7321700
2023-03-20,128.52999877929688,133.3800048828125,124.0999984741211,127.16999816894531,127.16999816894531,3335400
2023-03-27,128.3800048828125,132.10000610351562,126.4000015258789,132.02000427246094,132.02000427246094,2150900
2023-04-03,132.0800018310547,132.60000610351562,127.37000274658203,127.44999694824219,127.44999694824219,2176400
2023-04-10,126.73999786376953,136.8300018310547,126.19999694824219,134.9499969482422,134.9499969482422,4719100
2023-04-17,135.30999755859375,141.86000061035156,135.05999755859375,140.97999572753906,140.97999572753906,3116300
2023-04-24,141.0399932861328,144.0,127.87000274658203,139.58999633789062,139.58999633789062,7253100
2023-05-01,140.24000549316406,144.60000610351562,135.58999633789062,137.02000427246094,137.02000427246094,4291400
2023-05-08,137.77000427246094,137.77000427246094,128.2100067138672,130.58999633789062,130.58999633789062,2778800
2023-05-15,130.92999267578125,133.94000244140625,125.8499984741211,131.42999267578125,131.42999267578125,3384100
2023-05-22,131.41000366210938,134.8699951171875,129.6999969482422,134.22000122070312,134.22000122070312,2637800
2023-05-29,134.97000122070312,136.72999572753906,126.9800033569336,135.69000244140625,135.69000244140625,3161900
2023-06-05,135.02000427246094,146.5,132.07000732421875,142.05999755859375,142.05999755859375,3601700
2023-06-12,142.41000366210938,149.25,141.02999877929688,146.50999450683594,146.50999450683594,3022800
2023-06-19,146.00999450683594,146.92999267578125,139.44000244140625,140.58999633789062,140.58999633789062,2654600
2023-06-26,141.0500030517578,150.27999877929688,139.22999572753906,148.7899932861328,148.7899932861328,3097200
2023-07-03,148.52000427246094,149.6300048828125,144.60000610351562,148.27999877929688,148.27999877929688,1871200
2023-07-10,148.58999633789062,160.6199951171875,148.3699951171875,153.7899932861328,153.7899932861328,3370600
2023-07-17,152.88999938964844,157.5399932861328,149.19000244140625,149.72999572753906,149.72999572753906,4188400
2023-07-24,150.1999969482422,152.05999755859375,141.35000610351562,142.58999633789062,142.58999633789062,5695200
2023-07-31,142.99000549316406,148.5,141.10000610351562,141.5,141.5,4846900
2023-08-07,142.14999389648438,144.39999389648438,139.0,140.55999755859375,140.55999755859375,2879200
2023-08-14,139.8800048828125,140.3699951171875,133.0,135.14999389648438,135.14999389648438,2764000
2023-08-21,135.47999572753906,136.22999572753906,132.64999389648438,134.0,134.0,3479700
2023-08-28,134.69000244140625,142.52000427246094,134.69000244140625,141.9499969482422,141.9499969482422,2765800
2023-09-04,141.30999755859375,141.6300048828125,135.52999877929688,136.5,136.5,2151800
2023-09-11,136.6999969482422,138.0800018310547,134.35000610351562,137.97999572753906,137.97999572753906,3127300
2023-09-18,137.82000732421875,138.89999389648438,130.55999755859375,130.9199981689453,130.9199981689453,1797000
2023-09-25,130.33999633789062,135.4499969482422,129.7899932861328,133.6999969482422,133.6999969482422,2190000
2023-10-02,133.22999572753906,134.27999877929688,122.63999938964844,124.26000213623047,124.26000213623047,2846500
2023-10-09,123.20999908447266,129.33999633789062,121.87999725341797,123.29000091552734,123.29000091552734,2444500
2023-10-16,124.44000244140625,132.30999755859375,124.23999786376953,129.0,129.0,4171800
2023-10-23,128.36000061035156,130.27000427246094,98.4000015258789,102.0999984741211,102.0999984741211,10082100
2023-10-30,102.11000061035156,111.93000030517578,99.75,111.45999908447266,111.45999908447266,4823300
2023-11-06,111.58000183105469,112.72000122070312,107.16000366210938,109.79000091552734,109.79000091552734,3572500
2023-11-13,109.2699966430664,115.94999694824219,107.16999816894531,112.48999786376953,112.48999786376953,4808000
2023-11-20,112.77999877929688,112.77999877929688,107.08999633789062,109.18000030517578,109.18000030517578,3647900
2023-11-27,108.37999725341797,114.37999725341797,106.79000091552734,113.68000030517578,113.68000030517578,9137300
2023-12-04,113.16999816894531,114.19999694824219,108.05000305175781,109.08499908447266,109.08499908447266,2162031
